Town,Total Population,Total Population 90% MoE,Total Population in Poverty,Total Population in Poverty 90% MOE,Pct Population in Poverty,Pct Population in Poverty 90% MOE,Total Population Income 1-2x Poverty,Total Population Income 1-2x Poverty 90% MOE,Pct Population Income 1-2x Poverty,Pct Population Income 1-2x Poverty 90% MOE,Total Population Under 18,Total Population Under 18 90% MOE,Total Children in Poverty,Total Children in Poverty 90% MOE,Pct Children in Poverty,Pct Children in Poverty 90% MOE,Total Children Income 1-2x Poverty,Total Children Income 1-2x Poverty 90% MOE,Pct Children Income 1-2x Poverty,Pct Children Income 1-2x Poverty 90% MOE
Washington,3562,22,187,96,0.056,0.029,190,123,0.057,0.037,671,135,28,49,0.047,0.082,54,64,0.091,0.109
Watertown,22387,25,723,233,0.033,0.011,1862,450,0.084,0.02,4741,490,45,76,0.01,0.016,344,161,0.074,0.035
Winchester,11150,32,765,275,0.07,0.025,1817,521,0.165,0.047,2354,390,165,113,0.072,0.051,447,236,0.196,0.109
Woodbury,9910,32,582,228,0.059,0.023,869,285,0.088,0.029,2078,283,98,75,0.047,0.037,227,124,0.109,0.061
Chester,4154,16,203,95,0.05,0.024,387,162,0.096,0.04,881,177,18,45,0.02,0.051,65,85,0.074,0.098
Clinton,13239,31,1005,332,0.077,0.025,1638,443,0.125,0.034,2810,323,241,109,0.089,0.041,303,140,0.111,0.053
Cromwell,14076,21,566,273,0.042,0.02,1263,403,0.093,0.03,2730,329,49,57,0.018,0.021,196,124,0.072,0.046
Deep River,4615,19,130,83,0.028,0.018,734,413,0.16,0.09,880,186,0,36,0,0.042,234,145,0.271,0.177
Durham,7380,26,69,54,0.009,0.007,259,187,0.035,0.026,1919,286,22,60,0.011,0.031,67,93,0.035,0.049
East Haddam,9138,19,505,314,0.056,0.035,679,269,0.075,0.03,2284,296,233,165,0.102,0.073,176,114,0.077,0.051
East Hampton,12949,22,434,180,0.035,0.014,714,267,0.057,0.021,2912,328,93,85,0.033,0.03,136,112,0.048,0.04
Essex,6668,20,342,197,0.052,0.03,442,207,0.067,0.031,1324,261,45,67,0.034,0.051,76,85,0.057,0.065
Haddam,8343,26,324,222,0.039,0.027,401,281,0.048,0.034,1913,307,135,110,0.071,0.059,120,149,0.063,0.078
Killingworth,6501,25,21,37,0.003,0.006,385,201,0.059,0.031,1425,232,0,51,0,0.036,97,107,0.068,0.076
Middlefield,4421,21,125,55,0.028,0.013,426,177,0.096,0.04,1031,172,9,37,0.009,0.036,102,75,0.099,0.074
Middletown,47539,41,5121,685,0.117,0.016,5622,809,0.129,0.019,8646,557,1313,314,0.154,0.038,1089,266,0.128,0.032
Old Saybrook,10258,26,546,271,0.054,0.027,1332,503,0.132,0.05,2281,317,100,135,0.044,0.06,431,243,0.19,0.111
Portland,9487,25,483,229,0.051,0.024,519,168,0.055,0.018,1942,285,31,64,0.016,0.033,60,68,0.031,0.035
Westbrook,6922,22,333,181,0.049,0.026,1204,483,0.176,0.07,1208,237,16,55,0.014,0.047,141,135,0.121,0.118
Ansonia,19163,27,3540,948,0.186,0.05,3075,837,0.161,0.044,4311,603,1409,488,0.327,0.121,778,293,0.18,0.072
Beacon Falls,6038,33,189,133,0.031,0.022,450,204,0.075,0.034,1362,258,49,72,0.036,0.054,132,106,0.097,0.081
Bethany,5555,31,186,89,0.033,0.016,149,84,0.027,0.015,1416,202,33,58,0.023,0.041,44,62,0.031,0.044
Branford,28025,26,1995,436,0.072,0.016,2449,481,0.088,0.017,4973,464,567,216,0.114,0.045,416,162,0.084,0.033
Cheshire,29264,44,663,211,0.025,0.008,995,259,0.037,0.01,6482,506,65,84,0.01,0.014,120,100,0.019,0.016
Derby,12841,41,1675,627,0.133,0.05,1838,638,0.146,0.051,2733,410,691,312,0.253,0.12,468,246,0.171,0.094
East Haven,29167,42,2835,620,0.098,0.021,3763,769,0.13,0.027,5623,535,905,278,0.162,0.052,889,281,0.159,0.052
Guilford,22377,27,824,229,0.037,0.01,1282,356,0.058,0.016,4952,466,189,99,0.038,0.02,274,155,0.056,0.032
Hamden,61468,38,4627,867,0.082,0.015,6859,944,0.121,0.017,11929,740,910,311,0.077,0.027,1933,420,0.164,0.037
Madison,18289,38,515,362,0.029,0.02,1347,336,0.075,0.019,4954,449,102,142,0.021,0.03,201,107,0.042,0.023
Meriden,60691,71,8618,1130,0.144,0.019,11243,1240,0.188,0.021,13322,791,3062,478,0.234,0.039,3347,499,0.255,0.041
Middlebury,7550,38,272,100,0.036,0.013,661,299,0.088,0.04,1665,222,17,61,0.01,0.037,162,113,0.097,0.069
Milford,52894,44,2783,507,0.053,0.01,5480,846,0.104,0.016,10752,642,624,190,0.059,0.018,1302,318,0.122,0.031
Naugatuck,31786,23,3116,706,0.099,0.022,3974,794,0.127,0.025,7175,659,898,307,0.128,0.045,915,268,0.131,0.04
New Haven,130338,89,32135,2147,0.265,0.018,26395,2085,0.218,0.017,28708,1110,10653,925,0.374,0.036,6831,748,0.24,0.028
North Branford,14383,21,426,230,0.03,0.016,1413,549,0.099,0.038,3098,415,80,86,0.026,0.028,470,228,0.154,0.077
North Haven,24011,27,923,276,0.039,0.012,1387,407,0.058,0.017,4686,414,169,100,0.036,0.022,283,171,0.061,0.037
Orange,13934,37,337,156,0.024,0.011,624,199,0.045,0.014,3262,321,24,60,0.007,0.018,83,83,0.025,0.025
Oxford,12736,19,505,313,0.04,0.025,527,248,0.041,0.019,3086,396,125,129,0.041,0.042,128,122,0.042,0.04
Prospect,9520,23,350,147,0.038,0.016,565,200,0.061,0.021,1963,309,60,68,0.032,0.037,66,75,0.035,0.04
Seymour,16535,24,1182,454,0.072,0.028,1470,374,0.09,0.023,3746,414,254,183,0.069,0.05,319,146,0.087,0.041
Southbury,19864,26,1150,554,0.059,0.028,2030,520,0.104,0.027,4220,416,135,118,0.032,0.029,390,182,0.093,0.045
Wallingford,45112,43,2684,566,0.061,0.013,3709,604,0.084,0.014,9404,622,776,224,0.083,0.025,702,186,0.075,0.021
Waterbury,110052,40,25247,1998,0.233,0.018,22344,1739,0.207,0.016,27646,1149,9846,967,0.36,0.038,6568,701,0.24,0.028
West Haven,55349,67,6112,1127,0.116,0.021,10106,1303,0.192,0.025,11947,830,1967,453,0.166,0.04,2956,531,0.249,0.048
Wolcott,16688,24,477,234,0.029,0.014,1071,338,0.065,0.02,3572,411,96,95,0.027,0.027,214,118,0.061,0.034
Woodbridge,8981,24,233,236,0.026,0.027,540,251,0.061,0.028,2089,305,50,62,0.024,0.03,179,125,0.086,0.061
Bozrah,2618,42,154,103,0.059,0.04,281,148,0.108,0.057,578,102,48,53,0.083,0.093,94,74,0.163,0.131
Colchester,16119,21,514,266,0.032,0.017,1412,427,0.089,0.027,4202,388,197,134,0.047,0.032,540,202,0.129,0.05
East Lyme,19119,33,569,186,0.033,0.011,1274,264,0.074,0.015,3638,364,57,62,0.016,0.017,206,109,0.057,0.031
Franklin,1950,107,79,40,0.041,0.02,162,65,0.084,0.033,413,57,9,33,0.022,0.083,44,41,0.109,0.104
Griswold,11959,38,986,347,0.083,0.029,1945,583,0.163,0.049,2628,390,179,164,0.069,0.064,590,294,0.227,0.118
Groton,40126,42,3178,609,0.086,0.017,5397,818,0.147,0.022,8373,563,829,240,0.1,0.03,1837,417,0.221,0.052
Lebanon,7322,36,353,160,0.048,0.022,563,233,0.077,0.032,1527,233,0,51,0,0.033,84,81,0.055,0.054
Ledyard,15051,47,585,310,0.039,0.021,1069,446,0.071,0.03,3605,379,235,140,0.065,0.039,364,179,0.101,0.051
Lisbon,4334,20,118,84,0.027,0.019,524,210,0.121,0.048,980,175,28,53,0.029,0.054,116,81,0.118,0.085
Lyme,2417,106,89,54,0.037,0.022,290,191,0.12,0.079,480,109,10,37,0.021,0.077,107,87,0.223,0.188
Montville,19621,32,950,430,0.053,0.024,2003,576,0.111,0.032,4020,465,268,170,0.068,0.044,469,178,0.118,0.047
New London,27588,41,5889,849,0.249,0.036,4777,798,0.202,0.034,5462,509,1992,420,0.376,0.088,1371,312,0.259,0.064
North Stonington,5291,18,300,243,0.057,0.046,829,450,0.157,0.085,1097,227,114,109,0.104,0.102,283,181,0.258,0.176
Norwich,40424,50,5984,1080,0.15,0.027,7240,1103,0.181,0.028,9195,668,2201,514,0.245,0.06,1827,346,0.204,0.041
